CIDR	Start IP	End IP	Subnet Mask	Addresses	Hosts	Wildcard mask
137.116.255.254/32	137.116.255.254	137.116.255.254	255.255.255.255	1	1	0.0.0.0
137.116.255.255/32	137.116.255.255	137.116.255.255	255.255.255.255	1	1	0.0.0.0
52.224.0.0/12	52.224.0.0	52.239.255.255	255.240.0.0	1048576	1048574	0.15.255.255
52.240.0.0/13	52.240.0.0	52.247.255.255	255.248.0.0	524288	524286	0.7.255.255
52.248.0.0/14	52.248.0.0	52.251.255.255	255.252.0.0	262144	262142	0.3.255.255
52.252.0.0/15	52.252.0.0	52.253.255.255	255.254.0.0	131072	131070	0.1.255.255
52.254.0.0/16	52.254.0.0	52.254.255.255	255.255.0.0	65536	65534	0.0.255.255
52.255.0.0/17	52.255.0.0	52.255.127.255	255.255.128.0	32768	32766	0.0.127.255
52.255.128.0/18	52.255.128.0	52.255.191.255	255.255.192.0	16384	16382	0.0.63.255
52.255.192.0/19	52.255.192.0	52.255.223.255	255.255.224.0	8192	8190	0.0.31.255
52.255.224.0/20	52.255.224.0	52.255.239.255	255.255.240.0	4096	4094	0.0.15.255
52.255.240.0/21	52.255.240.0	52.255.247.255	255.255.248.0	2048	2046	0.0.7.255
52.255.248.0/22	52.255.248.0	52.255.251.255	255.255.252.0	1024	1022	0.0.3.255
52.255.252.0/23	52.255.252.0	52.255.253.255	255.255.254.0	512	510	0.0.1.255
52.255.254.0/24	52.255.254.0	52.255.254.255	255.255.255.0	256	254	0.0.0.255
52.255.255.0/25	52.255.255.0	52.255.255.127	255.255.255.128	128	126	0.0.0.127
52.255.255.128/26	52.255.255.128	52.255.255.191	255.255.255.192	64	62	0.0.0.63
52.255.255.192/27	52.255.255.192	52.255.255.223	255.255.255.224	32	30	0.0.0.31
52.255.255.224/28	52.255.255.224	52.255.255.239	255.255.255.240	16	14	0.0.0.15
52.255.255.240/29	52.255.255.240	52.255.255.247	255.255.255.248	8	6	0.0.0.7
52.255.255.248/30	52.255.255.248	52.255.255.251	255.255.255.252	4	2	0.0.0.3
52.255.255.252/31	52.255.255.252	52.255.255.253	255.255.255.254	2	2	0.0.0.1
52.255.255.254/32	52.255.255.254	52.255.255.254	255.255.255.255	1	1	0.0.0.0
52.255.255.255/32	52.255.255.255	52.255.255.255	255.255.255.255	1	1	0.0.0.0
23.96.0.0/14	23.96.0.0	23.99.255.255	255.252.0.0	262144	262142	0.3.255.255
23.100.0.0/15	23.100.0.0	23.101.255.255	255.254.0.0	131072	131070	0.1.255.255
23.102.0.0/16	23.102.0.0	23.102.255.255	255.255.0.0	65536	65534	0.0.255.255
23.103.0.0/17	23.103.0.0	23.103.127.255	255.255.128.0	32768	32766	0.0.127.255
23.103.128.0/18	23.103.128.0	23.103.191.255	255.255.192.0	16384	16382	0.0.63.255
23.103.192.0/19	23.103.192.0	23.103.223.255	255.255.224.0	8192	8190	0.0.31.255
23.103.224.0/20	23.103.224.0	23.103.239.255	255.255.240.0	4096	4094	0.0.15.255
23.103.240.0/21	23.103.240.0	23.103.247.255	255.255.248.0	2048	2046	0.0.7.255
23.103.248.0/22	23.103.248.0	23.103.251.255	255.255.252.0	1024	1022	0.0.3.255
23.103.252.0/23	23.103.252.0	23.103.253.255	255.255.254.0	512	510	0.0.1.255
23.103.254.0/24	23.103.254.0	23.103.254.255	255.255.255.0	256	254	0.0.0.255
23.103.255.0/25	23.103.255.0	23.103.255.127	255.255.255.128	128	126	0.0.0.127
23.103.255.128/26	23.103.255.128	23.103.255.191	255.255.255.192	64	62	0.0.0.63
23.103.255.192/27	23.103.255.192	23.103.255.223	255.255.255.224	32	30	0.0.0.31
23.103.255.224/28	23.103.255.224	23.103.255.239	255.255.255.240	16	14	0.0.0.15
23.103.255.240/29	23.103.255.240	23.103.255.247	255.255.255.248	8	6	0.0.0.7
23.103.255.248/30	23.103.255.248	23.103.255.251	255.255.255.252	4	2	0.0.0.3
23.103.255.252/31	23.103.255.252	23.103.255.253	255.255.255.254	2	2	0.0.0.1
23.103.255.254/32	23.103.255.254	23.103.255.254	255.255.255.255	1	1	0.0.0.0
23.103.255.255/32	23.103.255.255	23.103.255.255	255.255.255.255	1	1	0.0.0.0
20.33.0.0/16	20.33.0.0	20.33.255.255	255.255.0.0	65536	65534	0.0.255.255
20.34.0.0/15	20.34.0.0	20.35.255.255	255.254.0.0	131072	131070	0.1.255.255
20.36.0.0/14	20.36.0.0	20.39.255.255	255.252.0.0	262144	262142	0.3.255.255
20.40.0.0/13	20.40.0.0	20.47.255.255	255.248.0.0	524288	524286	0.7.255.255
20.48.0.0/12	20.48.0.0	20.63.255.255	255.240.0.0	1048576	1048574	0.15.255.255
20.64.0.0/10	20.64.0.0	20.127.255.255	255.192.0.0	4194304	4194302	0.63.255.255
20.128.0.0/17	20.128.0.0	20.128.127.255	255.255.128.0	32768	32766	0.0.127.255
20.128.128.0/18	20.128.128.0	20.128.191.255	255.255.192.0	16384	16382	0.0.63.255
20.128.192.0/19	20.128.192.0	20.128.223.255	255.255.224.0	8192	8190	0.0.31.255
20.128.224.0/20	20.128.224.0	20.128.239.255	255.255.240.0	4096	4094	0.0.15.255
20.128.240.0/21	20.128.240.0	20.128.247.255	255.255.248.0	2048	2046	0.0.7.255
20.128.248.0/22	20.128.248.0	20.128.251.255	255.255.252.0	1024	1022	0.0.3.255
20.128.252.0/23	20.128.252.0	20.128.253.255	255.255.254.0	512	510	0.0.1.255
20.128.254.0/24	20.128.254.0	20.128.254.255	255.255.255.0	256	254	0.0.0.255
20.128.255.0/25	20.128.255.0	20.128.255.127	255.255.255.128	128	126	0.0.0.127
20.128.255.128/26	20.128.255.128	20.128.255.191	255.255.255.192	64	62	0.0.0.63
20.128.255.192/27	20.128.255.192	20.128.255.223	255.255.255.224	32	30	0.0.0.31
20.128.255.224/28	20.128.255.224	20.128.255.239	255.255.255.240	16	14	0.0.0.15
20.128.255.240/29	20.128.255.240	20.128.255.247	255.255.255.248	8	6	0.0.0.7
20.128.255.248/30	20.128.255.248	20.128.255.251	255.255.255.252	4	2	0.0.0.3
20.128.255.252/31	20.128.255.252	20.128.255.253	255.255.255.254	2	2	0.0.0.1
20.128.255.254/32	20.128.255.254	20.128.255.254	255.255.255.255	1	1	0.0.0.0
20.128.255.255/32	20.128.255.255	20.128.255.255	255.255.255.255	1	1	0.0.0.0
52.145.0.0/16	52.145.0.0	52.145.255.255	255.255.0.0	65536	65534	0.0.255.255
52.146.0.0/15	52.146.0.0	52.147.255.255	255.254.0.0	131072	131070	0.1.255.255
52.148.0.0/14	52.148.0.0	52.151.255.255	255.252.0.0	262144	262142	0.3.255.255
52.152.0.0/13	52.152.0.0	52.159.255.255	255.248.0.0	524288	524286	0.7.255.255
52.160.0.0/12	52.160.0.0	52.175.255.255	255.240.0.0	1048576	1048574	0.15.255.255
52.176.0.0/13	52.176.0.0	52.183.255.255	255.248.0.0	524288	524286	0.7.255.255
52.184.0.0/14	52.184.0.0	52.187.255.255	255.252.0.0	262144	262142	0.3.255.255
52.188.0.0/15	52.188.0.0	52.189.255.255	255.254.0.0	131072	131070	0.1.255.255
52.190.0.0/16	52.190.0.0	52.190.255.255	255.255.0.0	65536	65534	0.0.255.255
52.191.0.0/17	52.191.0.0	52.191.127.255	255.255.128.0	32768	32766	0.0.127.255
52.191.128.0/18	52.191.128.0	52.191.191.255	255.255.192.0	16384	16382	0.0.63.255
52.191.192.0/19	52.191.192.0	52.191.223.255	255.255.224.0	8192	8190	0.0.31.255
52.191.224.0/20	52.191.224.0	52.191.239.255	255.255.240.0	4096	4094	0.0.15.255
52.191.240.0/21	52.191.240.0	52.191.247.255	255.255.248.0	2048	2046	0.0.7.255
52.191.248.0/22	52.191.248.0	52.191.251.255	255.255.252.0	1024	1022	0.0.3.255
52.191.252.0/23	52.191.252.0	52.191.253.255	255.255.254.0	512	510	0.0.1.255
52.191.254.0/24	52.191.254.0	52.191.254.255	255.255.255.0	256	254	0.0.0.255
52.191.255.0/25	52.191.255.0	52.191.255.127	255.255.255.128	128	126	0.0.0.127
52.191.255.128/26	52.191.255.128	52.191.255.191	255.255.255.192	64	62	0.0.0.63
52.191.255.192/27	52.191.255.192	52.191.255.223	255.255.255.224	32	30	0.0.0.31
52.191.255.224/28	52.191.255.224	52.191.255.239	255.255.255.240	16	14	0.0.0.15
52.191.255.240/29	52.191.255.240	52.191.255.247	255.255.255.248	8	6	0.0.0.7
52.191.255.248/30	52.191.255.248	52.191.255.251	255.255.255.252	4	2	0.0.0.3
52.191.255.252/31	52.191.255.252	52.191.255.253	255.255.255.254	2	2	0.0.0.1
52.191.255.254/32	52.191.255.254	52.191.255.254	255.255.255.255	1	1	0.0.0.0
52.191.255.255/32	52.191.255.255	52.191.255.255	255.255.255.255	1	1	0.0.0.0
209.199.0.0/17	209.199.0.0	209.199.127.255	255.255.128.0	32768	32766	0.0.127.255
209.199.128.0/18	209.199.128.0	209.199.191.255	255.255.192.0	16384	16382	0.0.63.255
209.199.192.0/19	209.199.192.0	209.199.223.255	255.255.224.0	8192	8190	0.0.31.255
209.199.224.0/20	209.199.224.0	209.199.239.255	255.255.240.0	4096	4094	0.0.15.255
209.199.240.0/21	209.199.240.0	209.199.247.255	255.255.248.0	2048	2046	0.0.7.255
209.199.248.0/22	209.199.248.0	209.199.251.255	255.255.252.0	1024	1022	0.0.3.255
209.199.252.0/23	209.199.252.0	209.199.253.255	255.255.254.0	512	510	0.0.1.255
209.199.254.0/24	209.199.254.0	209.199.254.255	255.255.255.0	256	254	0.0.0.255
209.199.255.0/25	209.199.255.0	209.199.255.127	255.255.255.128	128	126	0.0.0.127
209.199.255.128/26	209.199.255.128	209.199.255.191	255.255.255.192	64	62	0.0.0.63
209.199.255.192/27	209.199.255.192	209.199.255.223	255.255.255.224	32	30	0.0.0.31
209.199.255.224/28	209.199.255.224	209.199.255.239	255.255.255.240	16	14	0.0.0.15
209.199.255.240/29	209.199.255.240	209.199.255.247	255.255.255.248	8	6	0.0.0.7
209.199.255.248/30	209.199.255.248	209.199.255.251	255.255.255.252	4	2	0.0.0.3
209.199.255.252/31	209.199.255.252	209.199.255.253	255.255.255.254	2	2	0.0.0.1
209.199.255.254/32	209.199.255.254	209.199.255.254	255.255.255.255	1	1	0.0.0.0
209.199.255.255/32	209.199.255.255	209.199.255.255	255.255.255.255	1	1	0.0.0.0
64.4.0.0/19	64.4.0.0	64.4.31.255	255.255.224.0	8192	8190	0.0.31.255
64.4.32.0/20	64.4.32.0	64.4.47.255	255.255.240.0	4096	4094	0.0.15.255
64.4.48.0/21	64.4.48.0	64.4.55.255	255.255.248.0	2048	2046	0.0.7.255
64.4.56.0/22	64.4.56.0	64.4.59.255	255.255.252.0	1024	1022	0.0.3.255
64.4.60.0/23	64.4.60.0	64.4.61.255	255.255.254.0	512	510	0.0.1.255
64.4.62.0/24	64.4.62.0	64.4.62.255	255.255.255.0	256	254	0.0.0.255
64.4.63.0/25	64.4.63.0	64.4.63.127	255.255.255.128	128	126	0.0.0.127
64.4.63.128/26	64.4.63.128	64.4.63.191	255.255.255.192	64	62	0.0.0.63
64.4.63.192/27	64.4.63.192	64.4.63.223	255.255.255.224	32	30	0.0.0.31
64.4.63.224/28	64.4.63.224	64.4.63.239	255.255.255.240	16	14	0.0.0.15
64.4.63.240/29	64.4.63.240	64.4.63.247	255.255.255.248	8	6	0.0.0.7
64.4.63.248/30	64.4.63.248	64.4.63.251	255.255.255.252	4	2	0.0.0.3
64.4.63.252/31	64.4.63.252	64.4.63.253	255.255.255.254	2	2	0.0.0.1
64.4.63.254/32	64.4.63.254	64.4.63.254	255.255.255.255	1	1	0.0.0.0
64.4.63.255/32	64.4.63.255	64.4.63.255	255.255.255.255	1	1	0.0.0.0
20.143.0.0/16	20.143.0.0	20.143.255.255	255.255.0.0	65536	65534	0.0.255.255
20.144.0.0/15	20.144.0.0	20.145.255.255	255.254.0.0	131072	131070	0.1.255.255
20.146.0.0/16	20.146.0.0	20.146.255.255	255.255.0.0	65536	65534	0.0.255.255
20.147.0.0/17	20.147.0.0	20.147.127.255	255.255.128.0	32768	32766	0.0.127.255
20.147.128.0/18	20.147.128.0	20.147.191.255	255.255.192.0	16384	16382	0.0.63.255
20.147.192.0/19	20.147.192.0	20.147.223.255	255.255.224.0	8192	8190	0.0.31.255
20.147.224.0/20	20.147.224.0	20.147.239.255	255.255.240.0	4096	4094	0.0.15.255
20.147.240.0/21	20.147.240.0	20.147.247.255	255.255.248.0	2048	2046	0.0.7.255
20.147.248.0/22	20.147.248.0	20.147.251.255	255.255.252.0	1024	1022	0.0.3.255
20.147.252.0/23	20.147.252.0	20.147.253.255	255.255.254.0	512	510	0.0.1.255
20.147.254.0/24	20.147.254.0	20.147.254.255	255.255.255.0	256	254	0.0.0.255
20.147.255.0/25	20.147.255.0	20.147.255.127	255.255.255.128	128	126	0.0.0.127
20.147.255.128/26	20.147.255.128	20.147.255.191	255.255.255.192	64	62	0.0.0.63
20.147.255.192/27	20.147.255.192	20.147.255.223	255.255.255.224	32	30	0.0.0.31
20.147.255.224/28	20.147.255.224	20.147.255.239	255.255.255.240	16	14	0.0.0.15
20.147.255.240/29	20.147.255.240	20.147.255.247	255.255.255.248	8	6	0.0.0.7
20.147.255.248/30	20.147.255.248	20.147.255.251	255.255.255.252	4	2	0.0.0.3
20.147.255.252/31	20.147.255.252	20.147.255.253	255.255.255.254	2	2	0.0.0.1
20.147.255.254/32	20.147.255.254	20.147.255.254	255.255.255.255	1	1	0.0.0.0
